,,
"Tiempo","Costo","Generacion"
5000,"7375.571633125122",491
10000,"7054.979452266896",1162
15000,"6931.8677377231625",1551
20000,"6678.536576274303",2526
25000,"6668.700168315014",2659
30000,"6668.700168315014",2659
35000,"6668.700168315014",2659
40000,"6661.428909423363",5172
45000,"6561.601110215604",5652
50000,"6561.601110215604",5652
55000,"6561.601110215604",5652
60000,"6561.601110215604",5652
65000,"6561.601110215604",5652
70000,"6450.807702708684",9149
75000,"6450.807702708684",9149
80000,"6450.807702708684",9149
85000,"6450.807702708684",9149
90000,"6450.807702708684",9149
95000,"6450.807702708684",9149
100000,"6450.807702708684",9149
105000,"6450.807702708684",9149
110000,"6450.807702708684",9149
115000,"6450.807702708684",9149
120000,"6450.807702708684",9149
125000,"6450.807702708684",9149
130000,"6450.807702708684",9149
135000,"6450.807702708684",9149
140000,"6450.807702708684",9149
145000,"6450.807702708684",9149
150000,"6450.807702708684",9149
155000,"6450.807702708684",9149
160000,"6450.807702708684",9149
165000,"6450.807702708684",9149
170000,"6450.807702708684",9149
175000,"6450.807702708684",9149
180000,"6450.807702708684",9149
185000,"6450.807702708684",9149
190000,"6450.807702708684",9149
195000,"6450.807702708684",9149
200000,"6450.807702708684",9149
205000,"6450.807702708684",9149
210000,"6450.807702708684",9149
215000,"6450.807702708684",9149
220016,"6450.807702708684",9149
225000,"6450.807702708684",9149
230000,"6450.807702708684",9149
235016,"6450.807702708684",9149
240000,"6450.807702708684",9149
245000,"6450.807702708684",9149
250000,"6450.807702708684",9149
255000,"6450.807702708684",9149
260000,"6450.807702708684",9149
265000,"6450.807702708684",9149
270000,"6450.807702708684",9149
275016,"6399.842356794379",36497
280000,"6291.296537792466",37056
285000,"6291.296537792466",37056
290000,"6291.296537792466",37056
295000,"6291.296537792466",37056
